iter	Passed	Remaining
0	160	160545
1	167	83518
2	172	57444
3	177	44212
4	182	36306
5	186	30926
6	192	27239
7	198	24585
8	203	22461
9	209	20779
10	215	19393
11	220	18172
12	225	17089
13	230	16258
14	235	15475
15	240	14793
16	245	14193
17	250	13674
18	256	13260
19	262	12860
20	267	12463
21	272	12135
22	278	11820
23	283	11510
24	288	11240
25	292	10961
26	297	10711
27	302	10498
28	307	10300
29	312	10104
30	317	9909
31	321	9730
32	326	9559
33	330	9401
34	336	9267
35	341	9139
36	345	8991
37	350	8866
38	355	8748
39	360	8655
40	365	8549
41	370	8457
42	375	8349
43	380	8259
44	385	8178
45	391	8117
46	396	8031
47	400	7944
48	405	7878
49	411	7815
50	416	7751
51	421	7693
52	426	7615
53	430	7540
54	435	7484
55	440	7417
56	445	7366
57	450	7318
58	455	7271
59	460	7218
60	463	7138
61	468	7083
62	472	7027
63	476	6968
64	479	6900
65	483	6848
66	488	6795
67	491	6739
68	495	6679
69	499	6631
70	503	6586
71	507	6540
72	511	6501
73	516	6458
74	521	6428
75	524	6379
76	528	6331
77	532	6298
78	537	6266
79	541	6232
80	546	6195
81	550	6165
82	554	6126
83	557	6083
84	562	6050
85	566	6022
86	570	5985
87	574	5949
88	578	5921
89	583	5898
90	586	5855
91	591	5836
92	596	5818
93	602	5808
94	606	5781
95	612	5763
96	618	5753
97	623	5742
98	629	5728
99	635	5717
100	640	5704
101	646	5694
102	652	5683
103	657	5664
104	662	5647
105	667	5628
106	671	5603
107	675	5581
108	680	5561
109	684	5540
110	688	5512
111	692	5492
112	698	5485
113	702	5458
114	707	5441
115	712	5426
116	716	5404
117	721	5389
118	725	5372
119	730	5354
120	734	5334
121	737	5309
122	742	5291
123	746	5271
124	750	5254
125	755	5238
126	759	5221
127	764	5206
128	768	5189
129	772	5172
130	777	5157
131	781	5139
132	785	5121
133	788	5097
134	794	5087
135	799	5077
136	803	5060
137	806	5034
138	810	5021
139	815	5010
140	820	4997
141	825	4989
142	830	4976
143	834	4962
144	839	4947
145	844	4939
146	848	4924
147	853	4910
148	857	4899
149	862	4888
150	867	4877
151	872	4866
152	877	4859
153	882	4847
154	886	4832
155	891	4825
156	896	4811
157	900	4799
158	906	4793
159	910	4782
160	916	4773
161	920	4760
162	925	4753
163	930	4745
164	935	4736
165	942	4735
166	947	4727
167	952	4716
168	958	4712
169	963	4703
170	968	4693
171	973	4687
172	978	4677
173	983	4667
174	988	4659
175	993	4650
176	997	4639
177	1002	4630
178	1007	4620
179	1011	4609
180	1016	4600
181	1022	4593
182	1026	4584
183	1031	4576
184	1036	4567
185	1041	4559
186	1046	4550
187	1052	4544
188	1057	4536
189	1062	4531
190	1068	4525
191	1074	4520
192	1079	4514
193	1084	4506
194	1090	4500
195	1094	4490
196	1099	4480
197	1104	4474
198	1109	4465
199	1113	4455
200	1119	4450
201	1124	4441
202	1128	4432
203	1134	4425
204	1138	4415
205	1143	4406
206	1147	4397
207	1153	4393
208	1157	4382
209	1162	4373
210	1168	4368
211	1172	4359
212	1177	4351
213	1183	4347
214	1188	4339
215	1193	4331
216	1198	4324
217	1203	4317
218	1208	4310
219	1214	4306
220	1219	4299
221	1225	4294
222	1230	4288
223	1236	4283
224	1242	4278
225	1248	4274
226	1254	4270
227	1258	4262
228	1264	4258
229	1270	4254
230	1275	4246
231	1280	4239
232	1285	4231
233	1289	4222
234	1294	4213
235	1299	4208
236	1304	4199
237	1308	4189
238	1314	4184
239	1318	4175
240	1322	4166
241	1328	4160
242	1333	4152
243	1337	4143
244	1342	4135
245	1346	4128
246	1351	4120
247	1356	4112
248	1361	4106
249	1366	4098
250	1370	4089
251	1374	4080
252	1379	4074
253	1384	4067
254	1389	4059
255	1394	4052
256	1399	4044
257	1403	4036
258	1408	4028
259	1413	4022
260	1417	4014
261	1421	4005
262	1426	3997
263	1431	3990
264	1435	3982
265	1440	3974
266	1446	3969
267	1450	3962
268	1454	3953
269	1460	3948
270	1464	3940
271	1468	3931
272	1473	3924
273	1479	3919
274	1484	3913
275	1488	3905
276	1494	3899
277	1498	3892
278	1503	3884
279	1508	3877
280	1512	3870
281	1517	3862
282	1521	3855
283	1526	3848
284	1531	3841
285	1536	3835
286	1541	3829
287	1546	3823
288	1551	3817
289	1556	3811
290	1563	3808
291	1568	3803
292	1575	3800
293	1580	3796
294	1585	3790
295	1592	3786
296	1597	3781
297	1602	3775
298	1610	3776
299	1615	3769
300	1620	3763
301	1628	3764
302	1635	3761
303	1643	3762
304	1649	3759
305	1659	3763
306	1666	3760
307	1673	3759
308	1679	3755
309	1688	3757
310	1694	3753
311	1699	3748
312	1706	3745
313	1712	3740
314	1717	3734
315	1723	3731
316	1728	3724
317	1735	3721
318	1741	3717
319	1746	3712
320	1753	3708
321	1758	3702
322	1763	3695
323	1770	3693
324	1775	3686
325	1783	3688
326	1789	3683
327	1793	3675
328	1799	3669
329	1804	3663
330	1809	3656
331	1813	3648
332	1818	3642
333	1822	3634
334	1827	3627
335	1832	3621
336	1837	3614
337	1842	3608
338	1847	3602
339	1852	3596
340	1858	3591
341	1864	3587
342	1871	3585
343	1877	3581
344	1885	3579
345	1891	3576
346	1897	3571
347	1903	3565
348	1908	3560
349	1914	3555
350	1918	3547
351	1923	3541
352	1928	3534
353	1932	3527
354	1937	3520
355	1942	3513
356	1946	3506
357	1951	3500
358	1956	3493
359	1961	3486
360	1965	3478
361	1970	3472
362	1974	3465
363	1979	3458
364	1983	3451
365	1988	3445
366	1994	3439
367	1999	3433
368	2003	3426
369	2008	3419
370	2014	3415
371	2018	3407
372	2022	3400
373	2027	3393
374	2031	3385
375	2035	3378
376	2039	3371
377	2045	3366
378	2050	3359
379	2055	3353
380	2060	3348
381	2065	3341
382	2069	3334
383	2074	3328
384	2079	3321
385	2083	3314
386	2088	3307
387	2093	3302
388	2098	3295
389	2103	3289
390	2107	3282
391	2112	3276
392	2116	3269
393	2121	3263
394	2126	3256
395	2131	3250
396	2136	3244
397	2141	3239
398	2146	3233
399	2151	3227
400	2156	3221
401	2161	3216
402	2166	3210
403	2172	3204
404	2177	3198
405	2182	3192
406	2186	3185
407	2190	3179
408	2194	3171
409	2198	3164
410	2202	3156
411	2207	3150
412	2211	3142
413	2214	3134
414	2218	3127
415	2222	3120
416	2226	3112
417	2230	3105
418	2234	3098
419	2239	3092
420	2243	3085
421	2247	3078
422	2251	3071
423	2256	3064
424	2260	3057
425	2264	3051
426	2268	3044
427	2272	3037
428	2276	3029
429	2279	3022
430	2283	3014
431	2288	3008
432	2292	3001
